"filename", "language", "Dart", "comment", "blank", "total"
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/analytics.dart", "Dart", 5, 0, 1, 6
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/add_product_bloc/add_product_bloc.dart", "Dart", 107, 3, 11, 121
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/add_product_bloc/add_product_validator.dart", "Dart", 40, 0, 6, 46
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/analytics_bloc/analytics_bloc.dart", "Dart", 28, 3, 8, 39
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/bloc.dart", "Dart", 18, 3, 8, 29
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/notifications_bloc/notifications_bloc.dart", "Dart", 26, 3, 10, 39
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/orders_bloc/orders_bloc.dart", "Dart", 18, 3, 8, 29
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/product_description_bloc/product_description_bloc.dart", "Dart", 71, 3, 15, 89
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/products_home_bloc/products_home_bloc.dart", "Dart", 89, 3, 16, 108
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/scan_to_seaarch_bloc/scan_to_search_bloc.dart", "Dart", 29, 3, 9, 41
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/user_cart_bloc/user_cart_bloc.dart", "Dart", 102, 3, 18, 123
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/user_details_bloc/user_details_bloc.dart", "Dart", 89, 3, 11, 103
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/user_details_bloc/user_details_validator.dart", "Dart", 40, 0, 5, 45
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/user_login_bloc/user_login_bloc.dart", "Dart", 36, 3, 9, 48
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/user_login_bloc/user_login_validator.dart", "Dart", 24, 0, 4, 28
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/user_register_bloc/user_register_bloc.dart", "Dart", 31, 3, 8, 42
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/blocs/user_register_bloc/user_register_validator.dart", "Dart", 30, 0, 5, 35
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/main.dart", "Dart", 66, 0, 10, 76
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/navigate.dart", "Dart", 7, 0, 1, 8
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/analytics_repo.dart", "Dart", 87, 0, 7, 94
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/cart_and_notification_count.dart", "Dart", 11, 0, 1, 12
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/notifications_repo.dart", "Dart", 73, 0, 11, 84
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/orders_repo.dart", "Dart", 9, 0, 4, 13
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/products_details.dart", "Dart", 319, 5, 30, 354
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/scan_to_search_repo.dart", "Dart", 66, 0, 7, 73
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/shared_preferences_email.dart", "Dart", 12, 0, 2, 14
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/user_cart_repo.dart", "Dart", 147, 0, 13, 160
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/user_details_repo.dart", "Dart", 102, 0, 11, 113
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/repositories/user_register_repo.dart", "Dart", 22, 0, 5, 27
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/add_product/add_product.dart", "Dart", 169, 1, 12, 182
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/add_product/add_product_widgets/category_dropdown_menu.dart", "Dart", 120, 0, 5, 125
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/add_product/add_product_widgets/description_field.dart", "Dart", 39, 0, 1, 40
